"","mos_ethnicity","complainant_ethnicity"
"736","White","Black"
"737","White","Black"
"738","White","Hispanic"
"739","White","Black"
"740","White","Black"
"741","American Indian","Black"
"742","American Indian","Black"
"743","American Indian","Black"
"744","American Indian","Black"
"745","American Indian","Black"
"746","American Indian","Black"
"747","American Indian","Black"
"748","American Indian","Black"
"749","American Indian","Black"
"750","American Indian","Black"
"751","American Indian","Black"
"752","American Indian","Black"
"753","American Indian","Black"
"754","American Indian","Unknown"
"755","American Indian","Unknown"
"756","American Indian","Hispanic"
"757","American Indian",NA
"758","American Indian","Black"
"759","American Indian","Black"
"760","American Indian","Hispanic"
"761","Black","Black"
"762","Black","Black"
"763","Black","Black"
"764","Black","Black"
"765","Black","Black"
"766","Black","Black"
"767","Black","Hispanic"
"768","Black","Hispanic"
"769","Black","Black"
"770","Black","Refused"
"771","Black","Refused"
"772","Black","Black"
"773","Black","Black"
"774","Black","Black"
"775","Black","Black"
"776","Black","Black"
"777","Black","Black"
"778","Black","Hispanic"
"779","Black","Black"
"780","Black","Black"
"781","Black","Black"
"782","Black","White"
"783","Black","White"
"784","Black",NA
"785","Black","Black"
"786","Black","Black"
"787","Black","White"
"788","White","Black"
"789","White","Black"
"790","White","Black"
"791","White","Black"
"792","White","Black"
"793","White","Black"
"794","White","Black"
"795","White","Black"
"796","White","Black"
"797","White","Black"
"798","White","Black"
"799","White","Black"
"800","White","Black"
"801","White","Black"
"802","White","Black"
"803","White",NA
"804","White","Unknown"
"805","White",NA
"806","White",NA
"807","White","Black"
"808","White","Black"
"809","White","Black"
"810","Black","Hispanic"
"811","Black","Hispanic"
"812","Black","Black"
"813","Black","White"
"814","Hispanic","Unknown"
"815","Hispanic","Hispanic"
"816","Hispanic","Black"
"817","Hispanic","Unknown"
"818","Hispanic","Hispanic"
"819","White","Black"
"820","White","Hispanic"
"821","White","Hispanic"
"822","White","Hispanic"
"823","White","Hispanic"
"824","White","Hispanic"
"825","White","Hispanic"
"826","White","Hispanic"
"827","White","Hispanic"
"828","White","Hispanic"
"829","White","Hispanic"
"830","White","Hispanic"
"831","White","Hispanic"
"832","White","Hispanic"
"833","White","Hispanic"
"834","White","Hispanic"
"835","Black","White"
"836","White","Black"
"837","White","Black"
"838","White","Black"
"839","White",NA
"840","White","Black"
"841","White","Black"
"842","White",NA
"843","White",NA
"844","White",NA
"845","White","Hispanic"
"846","White",NA
"847","Hispanic","Hispanic"
"848","Hispanic","Black"
"849","Hispanic","Black"
"850","Hispanic","Black"
"851","Hispanic","Black"
"852","Hispanic","Black"
"853","Hispanic","Hispanic"
"854","Hispanic","Hispanic"
"855","Hispanic","Hispanic"
"856","Hispanic","Hispanic"
"857","White","Black"
